Identificador,Nombre,Categoría,Normativa
5678,Dryopteris tyrrhena,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8251,Echinospartum algibicum,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
9403,Echium gaditanum,-,-
9408,Echium parviflorum,-,-
6938,Elatine alsinastrum,-,-
6937,Elatine brochonii,-,-
11597,Eleocharis quinqueflora,-,-
12205,Elymus curvifolius,-,-
5776,Ephedra nebrodensis,-,-
8589,Epilobium angustifolium,-,-
8590,Epilobium atlanticum,-,-
105489,Epipactis lusitanica,-,-
12734,Epipactis microphylla,-,-
5523,Equisetum palustre,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7754,Erica andevalensis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7757,Erica ciliaris,-,-
7758,Erica erigena,-,-
7761,Erica lusitanica,-,-
7762,Erica multiflora,-,-
7765,Erica terminalis,-,-
12968,Erigeron frigidus,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8855,Erodium astragaloides,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8857,Erodium boissieri,-,-
8860,Erodium cazorlanum,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8874,Erodium daucoides,-,-
8875,Erodium guttatum,-,-
8882,Erodium mouretii,-,-
8891,Erodium recoderi,-,-
8893,Erodium rupicola,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
104512,Erodium saxatile,-,-
8895,Erodium tordylioides,-,-
8915,Eryngium corniculatum,-,-
8918,Eryngium galioides,-,-
8919,Eryngium glaciale,-,-
8920,Eryngium grosii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106356,Eryngium huteri,-,-
7304,Erysimum cazorlense,-,-
7307,Erysimum fitzii,-,-
7318,Erysimum myriophyllum,-,-
7322,Erysimum popovii,-,-
7324,Erysimum rondae,-,-
12917,Euonymus latifolius,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8634,Euphorbia baetica,-,-
8635,Euphorbia briquetii,-,-
113381,Euphorbia flavicoma subsp. bermejense,-,-
8659,Euphorbia gaditana,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8673,Euphorbia nevadensis  (=Euphorbia nevadensis subsp. nevadensis),LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8698,Euphorbia transtagana,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
104449,Euphrasia willkommii,-,-
12921,Euzomodendron bourgaeanum,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106357,Ferula loscosii,-,-
11743,Festuca ampla subsp. simplex,-,-
106587,Festuca baetica subsp. baetica,-,-
11756,Festuca clementei,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
11763,Festuca elegans,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
11764,Festuca frigida,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
11776,Festuca indigesta subsp. indigesta,-,-
104836,Festuca longiauriculata,-,-
11778,Festuca nevadensis,-,-
11791,Festuca reverchonii,-,-
107266,Filago desertorum,-,-
104766,Forsskaolea tenacissima,-,-
105068,Frangula alnus subsp. alnus,-,-
8743,Frangula alnus subsp. baetica,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
11601,Fuirena pubescens,-,-
7156,Fumana baetica,-,-
105875,Fumana fontanesii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
13293,Fumana juniperina,-,-
13294,Fumana lacidulemiensis,-,-
6037,Fumaria mumbyi,-,-
113385,Galatella malacitana,-,-
13059,Galega cirujanoi,-,-
10258,Galium baeticum,-,-
10259,Galium boissieranum,-,-
10262,Galium concatenatum,-,-
10266,Galium ephedroides,-,-
10267,Galium erythrorrhizon,-,-
10276,Galium glaucum subsp. murcicum,-,-
106591,Galium moralesianum,-,-
10277,Galium nevadense,-,-
10285,Galium pruinosum,-,-
10286,Galium pulvinatum,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
10290,Galium rosellum,-,-
10302,Galium tunetanum,Extinta,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
10304,Galium valentinum,-,-
