Identificador,"Nombre","Categoría","Normativa"
6430,"Arenaria capillipes","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
6434,"Arenaria delaguardiae","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2542,"Arenaria interpres","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
6449,"Arenaria nevadensis","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
6457,"Arenaria racemosa","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
6464,"Arenaria tetraquetra subsp. murcica","-","-"
6466,"Arenaria tomentosa","-","-"
96450,"Argantoniella salzmannii","-","-"
11487,"Arisarum proboscideum","-","-"
6828,"Armeria bourgaei subsp. bourgaei","-","-"
6829,"Armeria bourgaei subsp. lanceobracteata","-","-"
6830,"Armeria capitella","-","-"
6831,"Armeria colorata","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
108136,"Armeria filicaulis subsp. alfacarensis","-","-"
104830,"Armeria filicaulis subsp. nevadensis","-","-"
104651,"Armeria filicaulis subsp. trevenqueana","-","-"
6835,"Armeria gaditana","-","-"
13096,"Armeria genesiana subsp. genesiana","-","-"
6837,"Armeria hirta","-","-"
6840,"Armeria hispalensis","-","-"
6843,"Armeria linkiana","-","-"
6845,"Armeria macrophylla","-","-"
6846,"Armeria malacitana","-","-"
6850,"Armeria pauana","-","-"
6852,"Armeria pungens","-","-"
6856,"Armeria splendens","-","-"
105874,"Armeria trianoi","-","-"
6860,"Armeria velutina","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
113366,"Armeria villosa subsp. serpentinicola","-","-"
6866,"Armeria villosa subsp. villosa","-","-"
10703,"Artemisia alba subsp. nevadensis","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
10707,"Artemisia caerulescens subsp. caerulescens","-","-"
104831,"Artemisia chamaemelifolia","-","-"
10711,"Artemisia crithmifolia","-","-"
10715,"Artemisia granatensis","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
10721,"Artemisia umbelliformis","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2629,"Asio flammeus","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
103320,"Asphodelus roseus","-","-"
5617,"Asplenium billotii","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
5626,"Asplenium marinum","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
5631,"Asplenium petrarchae subsp. bivalens","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
5636,"Asplenium seelosii subsp. glabrum","-","-"
119834,"Aster tripolium subsp. pannonicus","-","-"
108387,"Asterina gibbosa","-","-"
114060,"Asterina phylactica","-","-"
111792,"Astragalus castroviejoi","-","-"
105797,"Astragalus cavanillesii","-","-"
8363,"Astragalus edulis","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
113248,"Astragalus guttatus","-","-"
8381,"Astragalus longidentatus","-","-"
106344,"Astragalus nevadensis subsp. nevadensis","-","-"
105801,"Astragalus oxyglottis","-","-"
13129,"Astragalus peregrinus subsp. warionis","-","-"
8402,"Astragalus tremolsianus","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
8404,"Astragalus vesicarius","-","-"
106647,"Astroides calycularis","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
108388,"Astrospartus mediterraneus","-","-"
103327,"Athamanta hispanica","-","-"
103328,"Athamanta vayredana","-","-"
6203,"Atriplex tornabenei","-","-"
9273,"Atropa baetica","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
106345,"Atropa bella-donna","-","-"
119663,"Austropotamobius pallipes","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
106605,"Avellara fistulosa","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11924,"Avena murphyi","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11971,"Avenula levis","-","-"
106581,"Avenula marginata subsp. gaditana","-","-"
108098,"Axinella polypoides","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2476,"Aythya ferina","-","-"
2478,"Aythya fuligula","-","-"
16206,"Aythya marila","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2477,"Aythya nyroca","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
113924,"Aythya nyroca x Aythya ferina","-","-"
13433,"Baetica ustulata","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
108105,"Barnea candida","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
107008,"Bellis cordifolia","-","-"
12928,"Betula pendula subsp. fontqueri","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
11499,"Biarum dispar","-","-"
11497,"Biarum galiani","-","-"
2688,"Blechnum spicant","-","-"
103343,"Boreava aptera","-","-"
2426,"Botaurus stellaris","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
103346,"Botrychium lunaria","-","-"
119786,"Boyeria irene","-","-"
15124,"Branta bernicla","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
15126,"Branta leucopsis","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
7644,"Brassica repanda subsp. almeriensis","-","-"
12176,"Bromus macrantherus","-","-"
2432,"Bubulcus ibis","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
16293,"Bucephala clangula","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
106613,"Bulbostylis cioniana","-","-"
7327,"Bunias erucago","-","-"
9004,"Bupleurum acutifolium","-","-"
